subject,n_trials,correct,accuracy,pval
01,120,59,0.49166666666666664,0.6078359113338616
02,120,58,0.48333333333333334,0.6758699740894974
03,120,56,0.4666666666666667,0.7942883898680312
04,120,56,0.4666666666666667,0.7942883898680312
05,120,79,0.6583333333333333,0.0003333619485017593
06,120,62,0.5166666666666667,0.39216408866613833
07,120,62,0.5166666666666667,0.39216408866613833
08,120,52,0.43333333333333335,0.9398360861306712
09,120,53,0.44166666666666665,0.9146773934348243
10,120,57,0.475,0.738504508055003
11,120,54,0.45,0.8823983160137373
12,120,61,0.5083333333333333,0.463657510544942
13,120,81,0.675,7.901701530128454e-05
14,120,62,0.5166666666666667,0.39216408866613833
15,120,60,0.5,0.536342489455058
16,120,62,0.5166666666666667,0.39216408866613833
17,120,72,0.6,0.017661841268884787
18,120,53,0.44166666666666665,0.9146773934348243
19,120,57,0.475,0.738504508055003
20,120,52,0.43333333333333335,0.9398360861306712
21,120,48,0.4,0.9889586420951478
22,120,63,0.525,0.32413002591050255
23,120,54,0.45,0.8823983160137373
24,120,65,0.5416666666666666,0.2057116101319688
25,120,50,0.4166666666666667,0.972610101543149
26,120,56,0.4666666666666667,0.7942883898680312
27,120,53,0.44166666666666665,0.9146773934348243
28,120,49,0.4083333333333333,0.9823381587311152
29,120,50,0.4166666666666667,0.972610101543149
30,120,54,0.45,0.8823983160137373
31,120,60,0.5,0.536342489455058
32,120,59,0.49166666666666664,0.6078359113338616
33,120,65,0.5416666666666666,0.2057116101319688
34,120,68,0.5666666666666667,0.08532260656517564
35,120,64,0.5333333333333333,0.26149549194499705
36,120,60,0.5,0.536342489455058
37,120,64,0.5333333333333333,0.26149549194499705
38,120,64,0.5333333333333333,0.26149549194499705
39,120,61,0.5083333333333333,0.463657510544942
40,120,64,0.5333333333333333,0.26149549194499705
41,120,57,0.475,0.738504508055003
42,120,58,0.48333333333333334,0.6758699740894974
44,120,72,0.6,0.017661841268884787
45,120,67,0.5583333333333333,0.11760168398626267
46,120,76,0.6333333333333333,0.0022275115887754678
47,120,61,0.5083333333333333,0.463657510544942
48,120,54,0.45,0.8823983160137373
49,120,55,0.4583333333333333,0.8423483495838711
50,120,69,0.575,0.060163913869328886
51,120,62,0.5166666666666667,0.39216408866613833
52,120,53,0.44166666666666665,0.9146773934348243
55,120,64,0.5333333333333333,0.26149549194499705
57,120,61,0.5083333333333333,0.463657510544942
58,120,59,0.49166666666666664,0.6078359113338616
